INDEX,hour,minute,Lat,Lon
14926,0,0,40.758,-73.972
136528,0,0,40.7527,-73.9888
340743,0,0,40.7199,-73.988
136529,0,1,40.7029,-73.9867
136530,0,1,40.7706,-73.9856
340744,0,2,40.7334,-74.0024
340745,0,2,40.7291,-73.9781
340746,0,2,40.7596,-73.9737
509886,0,2,40.775999999999996,-73.9798
509887,0,2,40.7538,-73.9856
509888,0,2,40.9733,-74.1133
646606,0,2,40.717,-74.038
646607,0,2,40.7582,-73.9723
136531,0,3,40.7596,-73.9812
340747,0,3,40.6948,-74.1779
340748,0,3,40.7439,-73.9904
340749,0,3,40.7364,-74.0084
509889,0,3,40.7429,-74.0076
509890,0,3,40.7602,-73.982
136532,0,4,40.742,-74.0037
136533,0,4,40.6449,-73.7821
136534,0,4,40.7532,-73.9843
509891,0,4,40.6674,-73.991
509892,0,4,40.6565,-73.9203
646608,0,4,40.7636,-73.9815
509893,0,5,40.6449,-73.7824
509894,0,5,40.7593,-73.9871
136535,0,6,40.7513,-73.9697
340750,0,6,40.645,-73.7818
509895,0,6,40.7201,-74.0101
136536,0,7,40.7572,-73.9702
136537,0,7,40.7171,-73.9566
509896,0,7,40.7423,-74.0065
509897,0,7,40.7318,-73.9933
509898,0,7,40.8079,-74.0095
646609,0,7,40.6854,-73.9733
136538,0,8,40.7255,-74.0032
136539,0,8,40.6462,-74.02
509899,0,8,40.7113,-74.0106
509900,0,8,40.7625,-73.9769
136540,0,9,40.6477,-73.9581
509901,0,9,40.6957,-73.9395
136541,0,10,40.736999999999995,-74.0288
136542,0,10,40.7489,-73.9877
136543,0,10,40.7525,-73.9795
340751,0,10,40.7514,-74.0033
509902,0,11,40.7432,-74.0084
136544,0,12,40.6822,-73.9799
136545,0,13,40.7662,-73.9769
136546,0,13,40.6832,-73.9938
340752,0,13,40.7555,-73.9771
509903,0,13,40.7845,-74.0446
509904,0,14,40.7131,-73.9637
646610,0,14,40.7199,-74.0429
136547,0,15,40.7284,-74.0319
136548,0,15,40.716,-74.0087
136549,0,15,40.639,-73.9987
340753,0,15,40.7332,-74.0007
509905,0,16,40.7593,-74.0483
14927,0,17,40.7557,-73.9871
136550,0,17,40.8464,-73.9172
509906,0,18,40.743,-73.9921
509907,0,18,40.6804,-73.9506
646611,0,18,40.7268,-73.9831
136551,0,19,40.7606,-73.9624
136552,0,19,40.7432,-74.0085
136553,0,19,40.708,-74.0052
136554,0,19,40.7528,-73.9655
136555,0,19,40.7609,-73.9905
509908,0,19,40.7473,-73.9897
509909,0,19,40.7547,-73.9661
14928,0,20,40.713,-73.964
136556,0,20,40.8144,-73.9158
136557,0,21,40.7182,-73.945
136558,0,21,40.7479,-73.9929
136559,0,21,40.759,-73.9884
